LMP,Load,Temperature
20.14,42.63,23.72
19.36,42.98,22.15
18.55,43.35,21.17
20.68,43.43,20.45
21.87,43.48,19.74
20.21,43.73,19.14
16.92,44.17,18.77
15.23,44.28,18.73
14.82,44.12,18.97
15.59,43.72,19.08
15.27,43.55,19.15
13.77,43.9,19.16
12.54,44.34,19.16
10.94,44.49,19.22
9.4,44.31,19.59
8.71,44.03,20.31
12.3,43.57,21.46
22.65,43.22,22.67
41.41,43.01,23.71
63.31,43.38,24.19
77.16,44.06,24.33
82.16,44.86,24.42
71.99,45.36,24.91
60.11,45.83,25.46
48.2,46.42,26.21
37.99,46.76,26.97
31.59,46.8,27.71
27.36,46.26,28.27
26.45,45.36,28.65
26.55,44.13,28.97
26.89,42.88,29.1
25.12,41.92,28.81
21.95,40.75,28.07
17.5,39.7,26.8
14.74,38.75,25.43
14.16,38.04,24.11
15.28,37.32,23.24
17.76,36.42,22.51
17.44,35.58,22.18
16.93,34.82,22.06
16.76,34.19,21.97
16.75,33.67,22
17.33,33.24,22.1
17.65,33.05,22.04
18.63,32.83,22.01
19.23,32.59,22.04
19.71,32.39,22.06
20.14,32.27,22.03
20.49,32.14,22.02
20.84,31.99,22.07
20.87,31.93,22.07
21.13,31.86,22.07
21.2,31.78,22.1
21.48,31.73,22.06
21.3,31.66,22.08
21.64,31.63,22.09
21.07,31.67,22.1
21.2,31.68,22.12
20.79,31.71,22.14
20.59,31.73,22.18
20.4,31.73,22.2
19.92,31.78,22.14
19.83,31.76,22.18
19.57,31.85,22.18
19.25,31.96,22.14
19.16,32.07,22.05
18.75,32.23,21.93
18.62,32.37,21.83
17.5,32.7,21.61
15.7,33.22,21.3
12.91,34.07,20.98
9.85,35.06,20.73
7.56,36.13,20.49
6.19,37.25,20.3
6.1,38.41,20.27
6.29,39.42,20.54
7.15,40.1,21.1
8.9,40.41,21.73
11.96,40.54,22.37
15.58,40.58,23.18
22.21,40.76,24.06
31.92,41.44,24.8
41.32,41.53,25.36
9.82,52.5,32.09
9.55,52.62,32.01
9.18,52.61,31.95
9.46,52.5,31.7
9.29,52.3,31.54
9.73,52.36,31.32
10.28,52.42,31.26
10.64,52.72,31.22
11.23,53.19,31.13
11.84,53.86,31.05
12.61,54.71,30.97
13.67,55.72,30.71
15.3,56.9,30.43
16.98,58.08,30.07
19.32,59.31,29.73
22.08,60.58,29.37
25.29,61.84,29.11
29.59,63.16,28.7
34.29,64.53,28.28
41.06,65.95,27.84
48.36,67.23,27.48
57.24,68.37,27.29
68.07,69.6,27.26
79.79,70.67,27.44
90.42,71.86,27.58
98.39,73.09,27.72
106.59,74.43,27.86
115.49,74.97,28.08
127.69,74.97,28.2
135.96,74.97,28.46
143.58,74.97,28.63
149.1,74.97,28.71
149.42,74.97,28.85
152.52,74.97,28.87
155.85,74.97,28.89
161.68,74.97,29.01
159.37,74.97,29.23
162.63,74.97,29.33
160.61,74.97,29.52
157.99,74.97,29.67
141.89,74.97,29.83
114.1,74.97,30.69
78.08,74.01,32.12
54.06,71.61,33.12
31.72,70.41,34.01
18.29,69.53,34.9
11.33,69.2,35.5
9.22,69.28,35.86
13.46,69.45,35.74
29.49,69.46,34.82
63.77,68.92,33.55
98.1,67.95,33.17
71.05,67.95,34.05
36.19,67.12,34.77
17.73,64.53,35.07
9.65,61.26,35.04
6.72,58.58,34.75
5.91,56.78,34.3
6.2,55.35,33.68
6.84,54.22,32.91
7.73,53.29,32.07
8.66,52.51,31.3
9.63,51.75,30.52
10.77,51.07,29.78
12.04,50.42,29.17
13.13,49.89,28.71
14.42,49.36,28.3
15.32,48.96,27.98
16.29,48.6,27.75
16.86,48.37,27.55
17.34,48.18,27.41
17.92,47.97,27.31
18.4,47.83,27.25
18.73,47.76,27.19
18.81,47.7,27.16
18.94,47.65,27.11
19.17,47.53,27.1
19.01,47.58,27.06
19.32,47.48,27.09
18.91,47.53,27.03
19.3,47.45,27.04
19.37,47.43,27.08
19.31,47.46,27.04
19.33,47.46,27.07
19.18,47.44,27.1
19,47.49,27.08
18.99,47.52,27.1
19.07,47.48,27.14
18.81,47.56,27.17
18.58,47.61,27.18
18.6,47.62,27.22
18.22,47.68,27.28
17.99,47.77,27.33
17.96,47.77,27.31
17.82,47.81,27.41
17.64,47.84,27.43
8.81,32.82,21.8
10.47,32.49,21.95
12.43,32.37,21.93
15.15,32.13,21.66
15.05,32,21.53
15.27,31.69,21.41
15.73,31.32,21.43
15.97,31.04,21.5
15.83,30.95,21.53
15.72,30.92,21.55
15.57,30.93,21.59
15.35,30.95,21.61
15.22,30.97,21.61
15.26,30.98,21.61
15.16,30.96,21.6
14.95,30.93,21.63
14.78,31,21.65
14.81,31.07,21.6
14.76,31.07,21.61
14.78,31.08,21.64
14.77,31.11,21.59
14.43,31.15,21.56
14.71,31.18,21.56
14.7,31.26,21.51
15.23,31.25,21.45
15.3,31.24,21.37
15.63,31.32,21.23
16.14,31.37,21.05
16.71,31.45,20.72
16.79,31.55,20.36
16.16,31.9,20
14.07,32.68,19.6
11.04,33.87,19.25
8.14,35.34,19.01
6.84,36.94,18.78
6.91,38.56,18.41
7.91,40.08,17.93
8.14,41.47,17.5
7.53,42.68,17.24
8.05,43.32,17.05
8.98,43.62,17.01
9.13,43.88,16.94
8.35,44.15,16.94
8.36,44.42,16.96
8.47,44.65,17.02
8.35,44.91,16.95
7.01,45.1,16.92
5.68,45.25,16.89
4.9,45.39,16.91
5.01,45.5,17.04
6.05,45.54,17.74
9.94,45.54,19.1
15.97,45.47,21.02
23.31,45.44,22.98
28.3,45.41,24.53
29.93,45.59,25.5
28.85,45.8,26.06
27.43,45.95,26.42
26.45,46.04,26.64
25.71,46.09,26.75
24.7,45.99,26.9
24.7,45.95,26.98
23.84,45.82,27.1
23.56,45.6,27.2
23.55,45.44,27.33
23.88,45.16,27.31
24.22,44.91,27.28
24.23,44.64,27.27
24.85,44.54,27.24
25.61,44.4,27.27
26.57,44.27,27.22
26.76,44.13,27.18
27.22,44.06,27.14
26.95,43.95,27.17
27.5,43.91,27.1
27.64,43.95,27.05
27.96,43.95,26.98
28.21,43.96,26.96
28.22,43.99,26.93
29.07,44.11,26.8
28.62,44.19,26.72
28.68,44.42,26.75
28.79,44.61,26.8
28.62,44.8,26.85
27.81,44.8,26.93
27.47,44.88,27.02
26.44,44.85,27.16
26.06,44.68,27.32
25.2,44.46,27.44
24.49,44.1,27.43
22.67,43.55,27.48
21.15,43.1,27.46
21.48,42.91,27.35
22.76,42.72,27.26
25.46,42.78,27.18
27.34,42.76,27.21
10.15,50.93,31.36
10.24,51.12,31.15
9.93,50.98,31.04
10.63,50.76,30.59
10.71,50.27,30.17
11.6,49.96,29.65
12.36,49.58,29.28
12.78,49.28,29.02
13.17,49.04,28.77
13.45,48.89,28.69
13.19,48.92,28.66
12.92,49.07,28.73
12.71,49.31,28.87
12.24,49.81,29
12.27,50.37,29.18
12.12,51.11,29.35
12.02,51.99,29.55
12.45,52.9,29.72
13.29,53.88,29.87
14.17,54.89,29.95
15.42,55.95,29.91
17.42,57.05,29.73
19.56,58.14,29.61
22.47,59.22,29.47
25.72,60.34,29.24
29.56,61.45,29.01
34.43,62.54,28.75
40.36,63.61,28.49
47.48,64.59,28.33
56.68,65.66,28.12
65.81,66.7,27.93
79.35,67.75,27.69
92.15,68.91,27.67
105.05,70.01,27.91
112.03,71.35,28.26
119.94,72.52,28.64
125.22,73.75,28.85
132.74,74.72,28.97
140.56,74.97,29.06
146.05,74.97,29.21
152.51,74.97,29.19
156.43,74.97,29.2
152.8,74.97,29.32
154.49,74.97,29.24
153.71,74.97,29.14
155.69,74.97,29.17
160.31,74.97,29.25
162.4,74.97,29.49
167,74.97,29.64
167.85,74.97,29.68
163.91,74.97,29.79
148.49,74.97,30.06
102.09,74.97,31.18
61.89,72.99,33.08
34.02,70.64,34.57
18.02,68.98,35.32
10.71,68.47,35.87
11.73,67.88,35.85
27.23,67.72,34.91
71.65,66.73,33.55
92.08,66.72,33.41
55.45,67.18,34.49
25.65,65.65,35.16
11.61,62.6,35.49
6.58,59.44,35.33
5.19,57.26,34.88
5.69,55.49,34.39
6.31,54.23,33.78
7.06,53.29,32.99
7.9,52.53,32.14
8.94,51.79,31.34
9.91,51.12,30.57
11.14,50.47,29.81
12.33,49.89,29.15
13.74,49.31,28.63
14.96,48.78,28.24
15.93,48.41,27.87
16.99,48,27.62
17.58,47.76,27.38
18.35,47.5,27.2
18.87,47.34,27.04
19.42,47.16,26.9
19.8,47.04,26.87
20,46.98,26.83
20.27,46.86,26.82
20.3,46.85,26.82
20.27,46.79,26.84
20.05,46.82,26.8
20.12,46.78,26.79
20.15,46.73,26.84
19.98,46.72,26.91
19.43,46.86,26.93
19.16,46.85,26.95
19.05,46.88,26.98
19.08,46.92,27.01
18.42,47.03,27.07
10.35,52.44,32.37
10.17,52.58,32.29
9.75,52.64,32.22
9.98,52.63,32.04
10.08,52.52,31.86
10.57,52.61,31.73
11.13,52.83,31.69
11.81,53.15,31.55
12.44,53.7,31.45
13.13,54.45,31.33
14.27,55.36,31.13
15.79,56.44,30.85
17.67,57.58,30.48
19.9,58.85,30.01
23.22,60.17,29.52
26.81,61.47,29.14
30.41,62.87,28.87
34.91,64.31,28.51
40.03,65.69,28.15
46.51,67.05,27.76
55.38,68.24,27.41
67.23,69.34,27.23
78.47,70.57,27.4
91.36,71.73,27.56
100.11,73,27.66
108.12,74.23,27.83
118.41,74.97,27.96
130.05,74.97,28.16
138.96,74.97,28.42
147.43,74.97,28.7
152.91,74.97,28.77
154.21,74.97,28.91
156.99,74.97,29.03
160.87,74.97,29.15
163.93,74.97,29.32
164.64,74.97,29.57
161.3,74.97,29.81
158.19,74.97,29.97
146.63,74.97,30.09
138.57,74.97,30.38
109.87,74.13,31.01
79.3,72.59,32.06
50.08,71.48,33.19
29.52,70.29,34.27
16.69,69.65,35.3
10.66,69.29,35.94
9.93,69.21,36.19
14.21,68.85,36.08
27.37,68.79,35.28
61.91,68.06,33.82
96.03,67.22,33.31
75.02,67.22,34.06
39.56,66.5,34.78
19.57,64.02,35.18
10.81,60.91,35.22
7.26,58.38,34.89
6.7,56.46,34.44
7.01,55.03,33.93
7.53,53.9,33.24
8.16,53.05,32.45
8.97,52.23,31.64
9.87,51.53,30.87
10.98,50.84,30.17
12.13,50.17,29.54
13.18,49.61,28.99
14.4,49.11,28.53
15.35,48.66,28.18
16.18,48.37,27.91
17.24,47.95,27.74
17.55,47.82,27.58
18.07,47.63,27.44
18.44,47.55,27.36
18.74,47.41,27.28
18.92,47.35,27.27
19.19,47.32,27.22
19.22,47.29,27.21
19.3,47.29,27.21
19.48,47.2,27.26
19.17,47.31,27.22
19.38,47.23,27.27
19.12,47.29,27.26
19.11,47.25,27.25
19.01,47.28,27.26
18.95,47.28,27.29
18.93,47.29,27.29
19.03,47.31,27.3
18.89,47.32,27.33
18.64,47.39,27.37
18.41,47.45,27.4
18.21,47.48,27.41
18.2,47.48,27.51
17.73,47.59,27.54
17.49,47.67,27.51
17.51,47.73,27.58
17.37,47.82,27.63
16.88,47.98,27.68
12.29,39.92,25.99
13.03,39.75,26.05
13.23,39.77,26.12
14.05,39.53,25.99
14.26,39.29,25.91
15.11,39.01,25.75
15.66,38.71,25.64
16.01,38.47,25.58
16.2,38.35,25.53
16.27,38.29,25.49
16.14,38.25,25.47
16.19,38.2,25.51
16.05,38.22,25.47
16.18,38.19,25.47
16.14,38.19,25.45
16.19,38.2,25.45
16.18,38.23,25.47
15.98,38.25,25.45
15.86,38.31,25.47
15.85,38.35,25.48
15.67,38.44,25.47
15.57,38.48,25.46
15.2,38.57,25.48
15.02,38.74,25.41
14.75,38.9,25.35
14.41,39.12,25.27
13.91,39.43,25.12
13.4,39.9,24.99
12.79,40.5,24.74
12.19,41.24,24.51
11.67,42.17,24.2
11.14,43.31,23.84
10.88,44.68,23.53
10.71,46.12,23.3
11.51,47.6,23.14
12.02,49.14,23.1
13.17,50.45,23.2
15,51.66,23.4
16.72,52.77,23.69
17.84,53.73,23.87
18.72,54.47,24.04
21.13,55.14,23.96
25.76,55.6,24.14
33.59,55.98,24.71
44.36,56.3,25.91
56.3,56.74,27.53
66.88,57.62,29.16
72.78,58.81,30.39
72.6,59.91,31.18
68.54,60.52,31.85
63.97,60.91,32.25
64.19,61.1,32.44
63.76,61.33,32.63
63.87,61.55,32.58
63.64,61.7,32.65
62.8,61.84,32.67
62.87,61.95,32.62
63.79,61.91,32.71
63.11,61.91,32.63
62.73,61.78,32.66
61.41,61.74,32.7
60.26,61.71,32.7
59.8,61.77,32.75
59.64,61.6,32.77
58.39,61.49,32.84
57.51,61.33,32.92
55.13,61.25,32.98
53.94,61,33.05
51.52,60.84,33.1
50.09,60.62,33.2
48.01,60.41,33.33
46.12,60.03,33.46
43.52,59.64,33.61
41.79,59.21,33.69
40.11,58.74,33.75
38.38,58.27,33.88
38.66,57.76,33.97
39.86,57.26,33.97
42.23,56.72,33.88
45.41,56.15,33.75
49.42,55.62,33.63
53.68,55.07,33.54
55.82,54.67,33.62
52,54.48,33.83
46.23,54.68,33.84
39.2,55.23,33.55
30.04,56.19,33.21
24.39,56.76,32.73
23.24,57.21,31.82
22.84,57.79,30.83
24.13,58.48,30.03
26.5,59.12,28.97
28.45,59.31,27.98
32.18,59.43,27.44
35.36,59.42,27.23
35.1,59.42,27.24
16.86,55.43,33.75
15.78,56.02,33.65
15.87,56.63,33.31
17.27,57.37,32.63
19.13,58.12,31.89
21.61,59,31.12
24.44,59.98,30.46
28.12,61.05,29.64
32.98,62.05,28.91
38.24,63.23,28.4
43.84,64.47,27.92
50.3,65.68,27.46
57.07,66.85,27.22
63.72,68.08,27.13
72.1,69.21,27.11
81.98,70.14,27.25
94.17,71.09,27.4
105.13,72.2,27.58
116.24,73.31,27.82
122.11,74.39,28.03
127.27,74.97,28.3
134.86,74.97,28.47
144.52,74.97,28.63
154.04,74.97,28.82
159.3,74.97,29.11
160.83,74.97,29.29
157.87,74.97,29.46
158,74.97,29.71
155.32,74.97,29.91
155.14,74.97,30.2
145.43,74.88,30.37
134.74,74.07,30.65
115.28,73.12,31.13
84.3,71.95,32.11
56.78,70.25,33.46
33.97,69.12,34.57
21.66,67.8,35.41
12.12,67.26,36.32
8.21,66.62,36.9
8.47,66.67,37.01
14.18,66.25,36.77
27.44,66.06,35.82
56.55,65.46,34.41
85.64,64.84,33.67
77.27,64.73,34.01
49.54,64.09,34.67
28.24,62.3,35.21
16.39,60.02,35.44
11.56,57.9,35.35
9.54,56.23,35.11
8.86,54.95,34.79
8.89,53.89,34.38
8.89,53.07,33.87
8.97,52.41,33.28
9.27,51.74,32.67
9.57,51.14,32.02
10.11,50.59,31.37
10.92,50.01,30.68
11.68,49.5,30.06
12.4,49,29.6
13.14,48.61,29.15
14.02,48.15,28.87
14.59,47.91,28.59
15.04,47.62,28.4
15.29,47.44,28.24
15.64,47.24,28.08
16.07,47.08,27.99
16.35,46.93,27.86
16.62,46.84,27.8
16.94,46.76,27.77
17.05,46.68,27.74
17.12,46.67,27.72
17.1,46.66,27.7
17.16,46.61,27.7
17.3,46.53,27.72
17.24,46.54,27.68
17.51,46.48,27.68
17.28,46.48,27.64
17.43,46.48,27.64
17.4,46.45,27.67
17.18,46.47,27.62
17.44,46.41,27.6
17.32,46.44,27.58
17.43,46.45,27.63
17.3,46.48,27.61
17.23,46.43,27.61
17,46.52,27.64
16.95,46.57,27.65
16.93,46.54,27.67
16.72,46.59,27.7
16.68,46.61,27.73
16.44,46.65,27.81
16.23,46.71,27.84
16.28,46.76,27.9
16.05,46.82,27.98
15.7,46.9,27.99
33.03,46.34,27.88
33.6,46.4,27.89
33.54,46.42,28.01
33.76,46.43,27.91
33.74,46.43,27.83
34.34,46.37,27.75
34.66,46.32,27.67
34.65,46.33,27.63
34.72,46.43,27.6
34.79,46.57,27.65
34.68,46.79,27.7
34.29,47.09,27.79
34.07,47.44,27.89
33.94,47.78,27.91
34.02,48.11,28.01
34.4,48.37,28.14
34.85,48.58,28.33
34.99,48.8,28.46
35.54,48.98,28.66
35.74,49.13,28.85
36.03,49.2,29.12
36.6,49.21,29.31
36.5,49.17,29.6
36.49,49.08,29.79
36.35,48.97,29.93
36.04,48.89,30.08
35.52,48.7,30.2
34.57,48.63,30.23
34.39,48.55,30.2
33.93,48.48,30.17
33.92,48.42,30.08
33.7,48.33,30
33.43,48.28,29.86
33.19,48.2,29.73
32.74,48.12,29.55
32.38,48.02,29.34
32.11,47.89,29.1
32.39,47.66,28.9
32.9,47.42,28.69
33.03,47.19,28.51
33.29,46.96,28.37
33.55,46.73,28.14
34.14,46.5,28.03
34.65,46.32,27.95
34.9,46.11,27.84
34.99,45.97,27.75
35.14,45.87,27.67
35.31,45.75,27.62
35.49,45.68,27.57
35.45,45.63,27.59
35.1,45.67,27.56
34.63,45.8,27.55
33.95,45.9,27.64
33.24,46.11,27.69
32.53,46.41,27.75
32.11,46.79,27.8
31.63,47.25,27.92
31.86,47.8,27.98
32.15,48.51,28.01
32.95,49.32,28.05
34.71,50.18,27.93
36.92,51.12,27.8
39.86,52.16,27.58
43.78,53.21,27.35
48.12,54.43,27.12
52.51,55.59,27.04
57.32,56.84,27.1
62.23,58.1,27.17
67.63,59.27,27.24
73.7,60.5,27.24
79.22,61.62,27.15
84.85,62.82,27.06
91.77,63.88,27.3
102.33,64.72,27.59
110.58,65.39,27.85
121.59,66.05,28.04
132.55,66.93,28.19
146.77,67.65,28.35
156.7,68.45,28.59
155.33,69.6,28.95
147.59,70,29.58
134.51,69.62,30.49
121.27,68.06,31.59
106.47,67.64,32.07
92.59,68.85,32.19
81.89,69.96,32.56
65.11,68.96,33.32
43.94,67.48,34.57
29.82,67.48,34.72
21.32,68.95,34.64
16.68,69.74,34.77
13.93,69.03,35.22
10.82,67.69,35.25
6.91,67.81,34.98
6.08,67.67,34.73
5.88,68.17,34.51
11.28,51.74,30.91
11.34,51.9,30.66
11.07,51.79,30.44
12.04,51.51,29.97
12.56,50.92,29.54
13.31,50.63,28.95
14.58,50.12,28.5
15.51,49.66,28.13
16.66,49.29,27.82
17.66,48.94,27.58
18.15,48.72,27.44
18.66,48.49,27.36
18.81,48.39,27.31
19,48.27,27.33
18.61,48.24,27.35
18.18,48.24,27.41
17.76,48.26,27.53
17.04,48.41,27.67
16.14,48.63,27.91
15.02,48.97,28.09
14.25,49.43,28.32
13.59,50.05,28.62
13.12,50.82,28.88
12.9,51.7,29.16
12.91,52.77,29.41
13.31,53.99,29.57
14.34,55.23,29.57
15.53,56.59,29.45
17.05,57.99,29.31
19.54,59.33,29.18
22.36,60.58,29.06
25.35,61.98,28.88
30.07,63.44,28.52
35.77,64.93,28.08
41.66,66.41,27.82
50.12,67.68,27.64
60.3,68.92,27.62
70.02,70.05,27.8
79.27,71.5,27.84
88.83,72.98,27.78
103.36,74.25,27.66
117,74.97,27.78
128.85,74.97,28.11
136.12,74.97,28.27
143.64,74.97,28.3
149.87,74.97,28.34
151.16,74.97,28.42
148.4,74.97,28.46
152.15,74.97,28.44
155.46,74.97,28.52
157.57,74.97,28.66
159.77,74.97,28.89
164.06,74.97,29
163.42,74.97,29.25
162.46,74.97,29.38
155.86,74.97,29.51
133.89,74.97,29.96
99.04,74.97,31.23
62.5,73.54,32.53
40.4,71.28,33.56
21.42,70.93,34.46
14.02,69.92,35.13
11.27,70.32,35.37
17.73,69.81,35.22
37.66,70.01,34.14
81.26,68.99,32.98
95.89,68.49,33.2
56.53,68.73,34.23
26.96,67.25,34.8
12.6,64.23,34.91
7.53,60.91,34.77
5.63,58.59,34.34
6.1,56.77,33.73
6.62,55.48,33.09
7.52,54.38,32.35
8.29,53.56,31.57
9.55,52.7,30.8
10.57,52.04,30.06
12.16,51.26,29.46
13.34,50.68,28.88
14.46,50.16,28.43
15.76,49.66,28.05
16.9,49.22,27.77
17.7,48.92,27.51
18.47,48.64,27.32
19.02,48.43,27.19
19.38,48.28,27.16
19.67,48.17,27.1
19.85,48.08,27.09
19.76,48.03,27.04
20.19,47.9,27.07
19.91,47.96,27.09
19.53,48.03,27.07
20,47.97,27.11
19.81,48.01,27.13
19.26,48.1,27.17
6.46,48.03,30.65
6.75,48.13,30.45
6.41,48.05,30.38
7.08,47.92,29.97
7.09,47.68,29.75
7.23,47.87,29.42
7.4,48.18,29.11
7.24,48.83,28.86
7.32,49.8,28.49
7.53,51.03,28.09
8.24,52.51,27.61
9.32,54.17,27.07
11.03,55.78,26.6
13.45,57.46,26.17
15.47,59.07,25.92
17.97,60.69,25.71
21.5,62.31,25.43
25.38,63.73,25.17
31.03,65.16,25.11
38,66.24,25.43
44.41,67.53,26.03
51.57,68.9,26.76
62.38,70.34,27.24
74.34,72.12,27.55
83.82,74.1,28.2
92.59,74.97,29.03
93.97,74.97,29.67
102,74.97,29.99
110.03,74.97,30.28
115.64,74.19,30.51
110.55,72.43,30.9
88.24,70.71,31.7
65.22,69.24,32.59
45.71,68.05,33.37
31,67.32,34.1
21.84,67.09,34.57
18.67,66.92,34.8
17.62,66.85,34.9
19.03,66.78,34.72
23.02,66.78,34.31
30.04,66.57,33.77
38.59,66.28,33.28
47.96,66.02,32.75
56.75,65.91,32.33
62.1,65.95,32.03
63.51,66.12,31.79
62.43,66.48,31.41
61.1,66.86,30.94
61.2,67.3,30.38
61.99,67.93,29.84
65.53,68.6,29.33
73.33,69.4,28.93
82,70.26,28.87
90.22,71.07,29.09
89.05,71.91,29.64
75.89,73.01,30.33
61.08,74.06,30.92
52.23,74.52,31.37
50.05,74.37,31.62
52.22,73.24,31.95
47.57,71.69,32.78
35.89,69.89,33.9
21.62,67.93,35.33
11.15,65.53,36.27
6.42,62.68,36.39
4.75,59.59,35.94
3.97,56.82,35.42
3.14,54.68,35
2.98,53,34.44
3.69,51.59,33.6
4.72,50.41,32.47
5.84,49.45,31.28
7.46,48.48,30.28
8.96,47.65,29.37
10.34,46.96,28.67
11.71,46.34,28.07
12.99,45.78,27.68
14.14,45.36,27.39
14.89,45.08,27.11
15.65,44.81,26.96
15.89,44.64,26.83
16.66,44.43,26.73
17.19,44.3,26.7
17.12,44.3,26.64
17.64,44.18,26.65
17.23,44.19,26.62
17.48,44.19,26.61
17.37,44.23,26.61
17.39,44.21,26.64
17.21,44.25,26.65
17.03,44.22,26.75
16.63,44.39,26.76
16.28,44.45,26.83
16.4,44.47,26.87
16.29,44.49,26.92
15.68,44.62,26.94
10.3,44.03,6.37
9.62,43.88,6.68
11.8,43.87,6.44
12.12,44.16,6.34
11.43,44.51,6.11
12.68,44.37,5.81
13.02,44.28,5.77
13.38,44.24,5.63
14.3,43.97,5.44
14.79,43.76,5.34
15.7,43.48,5.29
15.22,43.34,5.34
14.47,43.32,5.48
15.63,42.89,5.44
16.69,42.58,5.43
14.88,42.86,5.64
14.11,42.87,5.72
13.39,42.92,5.89
